,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_total_listings_count,host_verifications,host_identity_verified,neighbourhood,property_type,room_type,bedrooms,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,price,price_avg,price_std,beds,accommodates,reviews_per_month,availability_60,availability_90,availability_365,revenue,booking_rate,bathrooms_text,price_per_person,accom_per_bed,price_surge_percent,price_std_percent
13,"Venice, Italy",within an hour,100.0,100.0,f,San Marco,5,"['email', 'phone']",t,neighbourhood not available,Entire rental unit,Entire home/apt,1.0,3,29,t,3,123,15,1,4.5,4.52,4.46,4.75,4.76,4.89,4.47,t,91.12602739726027,91.12602739726027,12.580968832227866,2.0,4.0,0.9,6,26,256,60.97260273972603,70.13698630136986,1 bath,22.78150684931507,2.0,0.0,13.806120152019394
14,"Venice, Italy",within an hour,100.0,100.0,f,Santa Croce,2,"['email', 'phone']",t,neighbourhood not available,Private room in bed and breakfast,Private room,1.0,1,28,t,0,67,14,4,4.26,4.41,4.55,4.55,4.51,4.6,4.06,t,100.4904109589041,100.4904109589041,1.6418433408591486,1.0,3.0,0.54,8,38,312,85.96986301369863,85.47945205479452,1 shared bath,33.49680365296803,3.0,0.0,1.633830855294826
15,"Venice, Italy",within an hour,100.0,100.0,t,host neighbourhood not available,5,"['email', 'phone', 'work_email']",t,Italy,Entire rental unit,Entire home/apt,1.0,2,14,t,4,344,29,8,4.82,4.87,4.94,4.93,4.9,4.56,4.77,t,64.6027397260274,64.6027397260274,10.391696450081811,1.0,2.0,2.49,15,15,21,4.602739726027397,5.7534246575342465,1 bath,32.3013698630137,2.0,0.0,16.085535217471847
16,host location not available,within a few hours,90.0,67.0,f,host neighbourhood not available,1,"['email', 'phone']",f,neighbourhood not available,Private room in boat,Private room,7.0,1,1125,t,9,48,5,2,4.15,4.19,4.34,4.45,4.15,4.26,4.13,t,127.24931506849315,127.24931506849315,57.68635145127787,16.0,16.0,0.35,34,49,113,37.41917808219178,30.958904109589042,7 shared baths,7.953082191780822,1.0,0.0,45.333329629497534
17,"Monfalcone, Italy",within a few hours,100.0,100.0,f,Castello,3,"['email', 'phone']",t,neighbourhood not available,Entire rental unit,Entire home/apt,1.0,3,1125,t,1,519,0,0,4.78,4.86,4.9,4.83,4.88,4.86,4.79,t,162.6986301369863,162.6986301369863,7.320535866387586,1.0,4.0,3.8,3,3,221,101.3945205479452,60.54794520547945,1 bath,40.67465753424658,4.0,0.0,4.499445299707786
18,"Treviso, Italy",within an hour,100.0,100.0,t,Castello,3,"['email', 'phone']",t,neighbourhood not available,Entire rental unit,Entire home/apt,1.0,3,1125,t,3,285,34,3,4.68,4.73,4.82,4.89,4.9,4.92,4.65,t,86.25479452054795,86.25479452054795,6.9244954808062555,1.0,3.0,2.06,10,40,265,63.90958904109589,72.6027397260274,1 bath,28.751598173515983,3.0,0.0,8.027954294362937
19,"Venice, Italy",within an hour,100.0,100.0,t,San Marco,5,"['email', 'phone', 'work_email']",t,"Venice, Veneto, Italy",Entire rental unit,Entire home/apt,2.0,3,200,t,0,151,16,2,4.67,4.8,4.74,4.84,4.88,4.95,4.64,t,167.35890410958905,167.35890410958905,17.855647024508986,3.0,4.0,1.13,12,38,305,139.0027397260274,83.56164383561644,1 bath,41.83972602739726,1.3333333333333333,0.0,10.669075015463084
20,"Venice, Italy",within an hour,100.0,100.0,f,Castello,1,"['email', 'phone']",t,"Venice, Veneto, Italy",Entire rental unit,Entire home/apt,1.0,5,30,t,0,222,5,0,4.73,4.78,4.73,4.95,4.95,4.9,4.71,t,155.13698630136986,155.13698630136986,10.115154375269132,3.0,3.0,1.62,20,50,325,135.95890410958904,89.04109589041096,2 baths,51.71232876712329,1.0,0.0,6.520143659113878
21,"Venice, Italy",within an hour,100.0,100.0,t,San Marco,5,"['email', 'phone', 'work_email']",t,"Venice, Veneto, Italy",Entire rental unit,Entire home/apt,2.0,3,1125,t,8,122,16,1,4.55,4.72,4.73,4.77,4.87,4.93,4.47,t,161.28493150684932,161.28493150684932,15.727274475465062,2.0,4.0,0.91,23,53,321,140.92876712328768,87.94520547945206,1 bath,40.32123287671233,2.0,0.0,9.751236106515734
22,"Treviso, Italy",within an hour,100.0,100.0,t,Castello,3,"['email', 'phone']",t,"Venice, Veneto, Italy",Entire rental unit,Entire home/apt,1.0,3,90,t,2,318,36,3,4.89,4.91,4.93,4.92,4.88,4.89,4.75,t,91.98630136986301,91.98630136986301,12.0967859125646,2.0,4.0,2.35,5,22,201,53.23561643835617,55.06849315068493,1 bath,22.996575342465754,2.0,0.0,13.150638445528159
23,"Venice, Italy",within an hour,100.0,100.0,f,Cannaregio,2,"['email', 'phone', 'work_email']",t,neighbourhood not available,Entire rental unit,Entire home/apt,2.0,2,1125,t,9,83,4,0,4.66,4.74,4.81,4.92,4.84,4.78,4.68,t,159.36164383561643,159.36164383561643,33.404129795584716,6.0,6.0,0.66,24,54,216,107.84931506849315,59.178082191780824,1 bath,26.56027397260274,1.0,0.0,20.961210609776025
24,host location not available,within an hour,100.0,92.0,f,Dorsoduro/Accademia,4,"['email', 'phone']",t,"Venice, Veneto, Italy",Entire rental unit,Entire home/apt,1.0,3,90,t,0,45,6,2,4.74,4.79,4.91,4.81,4.79,4.86,4.65,t,126.05479452054794,126.05479452054794,12.888885248089993,2.0,3.0,0.33,6,36,288,101.65753424657534,78.9041095890411,1 bath,42.018264840182646,1.5,0.0,10.224827462623011
25,"Venice, Italy",within an hour,100.0,99.0,t,Giudecca,6,"['email', 'phone']",t,"Venice, Veneto, Italy",Private room in bed and breakfast,Private room,1.0,2,730,t,2,333,52,0,4.75,4.73,4.81,4.89,4.88,4.74,4.65,f,67.07671232876713,67.07671232876713,10.15915275827266,1.0,2.0,2.44,18,48,228,41.586301369863016,62.465753424657535,Shared half-bath,33.538356164383565,2.0,0.0,15.14557348678479
26,"Venice, Italy",within a few hours,100.0,88.0,t,San Marco,6,"['email', 'phone']",t,"Venice, Veneto, Italy",Entire rental unit,Entire home/apt,1.0,2,7,t,9,239,33,3,4.92,4.94,4.99,4.93,4.95,4.97,4.88,t,157.23287671232876,157.23287671232876,16.748397125164864,1.0,2.0,1.75,34,64,154,67.78082191780823,42.19178082191781,1 bath,78.61643835616438,2.0,0.0,10.65196889821428
27,"Venice, Italy",response not available,96.16273880909218,93.0,t,Cannaregio,1,"['email', 'phone']",t,"Venice, Veneto, Italy",Entire rental unit,Entire home/apt,1.0,1,29,t,0,91,11,0,4.99,5.0,5.0,5.0,5.0,4.96,4.92,f,110.47397260273972,110.47397260273972,8.047421732313357,1.0,2.0,1.25,0,0,0,0.0,0.0,1 bath,55.23698630136986,2.0,0.0,7.2844503938059555
28,"Venice, Italy",response not available,96.16273880909218,100.0,f,host neighbourhood not available,1,"['email', 'phone']",t,neighbourhood not available,Private room in condo,Private room,1.0,2,1125,t,0,326,0,0,4.83,4.87,4.98,4.94,4.92,4.62,4.83,t,36.0,36.0,0.0,1.0,1.0,2.59,0,0,0,0.0,0.0,1 shared bath,36.0,1.0,0.0,0.0
29,"Venice, Italy",within an hour,100.0,100.0,f,Santa Croce,2,"['email', 'phone']",t,"Venice, Italy",Private room in rental unit,Private room,1.0,2,444,t,2,316,57,10,4.68,4.71,4.84,4.89,4.73,4.89,4.67,f,91.9013698630137,91.9013698630137,2.2473728955175227,2.0,3.0,2.36,11,41,314,79.18082191780822,86.02739726027397,1 private bath,30.6337899543379,1.5,0.0,2.445418277080538
30,"Venice, Italy",within a few hours,100.0,91.0,t,Cannaregio,23,"['email', 'phone']",f,neighbourhood not available,Room in hotel,Hotel room,1.0,1,730,t,12,41,10,1,4.78,4.71,4.85,4.73,4.76,4.71,4.76,t,1022.2438356164383,1022.2438356164383,2738.631401652495,1.0,2.0,0.3,37,67,306,157.8082191780822,83.83561643835617,1 private bath,511.12191780821917,2.0,0.0,267.90392920305874
31,"Venice, Italy",within a few hours,100.0,91.0,t,Cannaregio,23,"['email', 'phone']",f,neighbourhood not available,Room in hotel,Hotel room,1.0,1,365,t,15,8,1,0,4.75,4.75,4.88,4.5,4.88,4.88,4.63,t,1068.6,1068.6,2724.4950503021428,3.0,3.0,0.07,42,72,314,205.3972602739726,86.02739726027397,1 private bath,356.2,1.0,0.0,254.95929723957914
32,"Venice, Italy",within a few hours,100.0,91.0,t,Cannaregio,23,"['email', 'phone']",f,neighbourhood not available,Room in hotel,Hotel room,1.0,1,730,t,9,8,0,0,4.4,4.5,4.83,4.5,4.33,4.33,4.5,t,1022.2712328767124,1022.2712328767124,2738.6229926754863,1.0,2.0,0.06,32,62,299,154.0246575342466,81.91780821917808,1 private bath,511.1356164383562,2.0,0.0,267.8959266973493
33,"Venice, Italy",within a few hours,100.0,91.0,t,Cannaregio,23,"['email', 'phone']",f,"Venice, Veneto, Italy",Room in hotel,Hotel room,2.0,1,730,t,16,3,1,0,4.67,4.33,4.33,4.67,3.67,4.67,4.67,t,1124.4246575342465,1124.4246575342465,2707.4611293558314,4.0,4.0,0.03,29,59,289,236.82465753424657,79.17808219178082,1 private bath,281.10616438356163,1.0,0.0,240.78635337764908
34,"Venice, Italy",within a day,65.0,19.0,f,Castello,2,"['email', 'phone']",t,"Venice, Veneto, Italy",Entire rental unit,Entire home/apt,1.0,2,30,t,2,74,6,0,4.93,4.91,4.84,4.99,4.96,4.95,4.77,f,136.1123287671233,136.1123287671233,12.284448593821857,2.0,4.0,0.56,18,48,323,121.67397260273972,88.4931506849315,1 bath,34.028082191780825,2.0,0.0,9.025228430878961
35,"Venice, Italy",response not available,96.16273880909218,100.0,f,Castello,5,['phone'],t,"Venice, Veneto, Italy",Entire rental unit,Entire home/apt,1.0,2,365,t,6,95,8,0,4.57,4.76,4.65,4.86,4.81,4.9,4.48,t,189.57260273972602,189.57260273972602,17.25752949442912,2.0,2.0,0.73,25,50,54,25.32054794520548,14.794520547945206,1 bath,94.78630136986301,1.0,0.0,9.103387960613102
36,"Venice, Italy",within an hour,100.0,100.0,f,host neighbourhood not available,1,"['email', 'phone']",f,neighbourhood not available,Private room in rental unit,Private room,1.0,1,7,t,22,124,7,0,4.52,4.71,4.74,4.8,4.76,4.33,4.52,t,59.73972602739726,59.73972602739726,5.000075266632057,2.0,3.0,0.99,52,82,357,58.31506849315068,97.80821917808218,1 bath,19.91324200913242,1.5,0.0,8.36976598175052
37,"Venice, Italy",within an hour,100.0,98.0,t,San Marco,134,"['email', 'phone']",t,"Venice, Veneto, Italy",Entire rental unit,Entire home/apt,1.0,1,1125,t,7,23,0,0,4.78,4.91,4.91,4.87,4.87,4.91,4.64,t,332.05753424657536,332.05753424657536,104.5096319208571,2.0,3.0,0.18,19,49,298,272.3835616438356,81.64383561643835,1 bath,110.68584474885846,1.5,0.0,31.47335059208492
38,"Venice, Italy",within an hour,100.0,98.0,t,San Marco,134,"['email', 'phone']",t,"Venice, Veneto, Italy",Entire rental unit,Entire home/apt,2.0,1,1125,t,1,49,7,2,4.78,4.83,4.92,4.94,4.71,4.79,4.69,t,324.15890410958906,324.15890410958906,90.79654807123934,2.0,4.0,0.42,18,48,320,278.7013698630137,87.67123287671232,2 baths,81.03972602739726,2.0,0.0,28.009888644164338
39,"Venice, Italy",within an hour,100.0,100.0,t,San Polo,1,"['email', 'phone']",t,neighbourhood not available,Entire rental unit,Entire home/apt,1.0,1,28,t,2,812,118,5,4.85,4.92,4.95,4.94,4.94,4.96,4.84,t,136.83287671232875,136.83287671232875,25.223877003692262,2.0,2.0,5.97,10,35,286,106.04657534246576,78.35616438356165,1 bath,68.41643835616438,1.0,0.0,18.43407637823898
40,"Venice, Italy",within an hour,100.0,100.0,t,Cannaregio,3,"['email', 'phone']",t,neighbourhood not available,Entire rental unit,Entire home/apt,1.0,5,28,t,1,377,41,4,4.85,4.92,4.85,4.92,4.93,4.97,4.85,t,89.95616438356164,89.95616438356164,4.808788494630495,3.0,4.0,2.79,4,27,117,29.19178082191781,32.054794520547944,1 bath,22.48904109589041,1.3333333333333333,0.0,5.345702017847751
41,"Milan, Italy",within an hour,100.0,100.0,t,Cannaregio,7,"['email', 'phone']",t,"Venice, Veneto, Italy",Private room in rental unit,Private room,1.0,1,365,t,2,428,10,0,4.38,4.58,4.43,4.81,4.81,4.75,4.32,t,65.5013698630137,65.5013698630137,9.78522789369298,1.0,2.0,3.16,4,30,109,21.65205479452055,29.863013698630137,1 shared bath,32.75068493150685,2.0,0.0,14.938966794369826
42,"Venice, Italy",response not available,96.16273880909218,93.0969346598548,f,host neighbourhood not available,3,"['email', 'phone']",t,"Venice, Veneto, Italy",Private room in guest suite,Private room,1.0,2,30,t,0,609,0,0,4.73,4.73,4.87,4.76,4.8,4.6,4.73,t,50.0,50.0,0.0,1.0,2.0,4.47,0,0,0,0.0,0.0,1 private bath,25.0,2.0,0.0,0.0
43,"Venice, Italy",within an hour,100.0,100.0,t,Castello,4,"['email', 'phone']",t,"Venice, Veneto, Italy",Entire vacation home,Entire home/apt,4.0,3,28,t,3,126,9,0,4.81,4.85,4.95,4.88,4.87,4.9,4.74,t,408.013698630137,408.013698630137,4.813822675907341,4.0,8.0,1.04,13,43,314,352.013698630137,86.02739726027397,3 baths,51.00171232876713,2.0,0.0,1.1798188864906358
44,"Venice, Italy",within an hour,100.0,100.0,t,Castello,4,"['email', 'phone']",t,neighbourhood not available,Room in bed and breakfast,Hotel room,1.0,2,730,t,4,28,3,2,4.33,4.63,4.89,4.67,4.52,4.85,4.3,t,146.16438356164383,146.16438356164383,16.36047711715114,3.0,4.0,0.21,14,44,293,117.3972602739726,80.27397260273973,1 shared bath,36.54109589041096,1.3333333333333333,0.0,11.193203650909405
45,"Venice, Italy",within an hour,100.0,91.0,f,Cannaregio,2,"['email', 'phone']",t,"Venice, Veneto, Italy",Entire rental unit,Entire home/apt,2.0,1,30,t,0,271,18,2,4.58,4.56,4.68,4.71,4.86,4.74,4.48,f,134.24657534246575,134.24657534246575,61.85173268201116,2.0,5.0,2.04,3,3,122,48.441095890410956,33.42465753424658,2 baths,26.849315068493148,2.5,0.0,46.073229446804234
46,"Padua, Italy",within an hour,100.0,88.0,f,Santa Croce,7,"['email', 'phone', 'work_email']",t,neighbourhood not available,Entire rental unit,Entire home/apt,1.0,3,30,t,0,302,24,1,4.81,4.84,4.8,4.88,4.84,4.91,4.75,t,151.9808219178082,151.9808219178082,23.872306001475646,3.0,4.0,2.27,5,28,85,30.084931506849315,23.28767123287671,1 bath,37.99520547945205,1.3333333333333333,0.0,15.707446308183462
47,"Padua, Italy",within an hour,100.0,88.0,f,Santa Croce,7,"['email', 'phone', 'work_email']",t,neighbourhood not available,Entire rental unit,Entire home/apt,2.0,3,365,t,0,212,6,1,4.71,4.72,4.83,4.83,4.83,4.88,4.73,t,150.81917808219177,150.81917808219177,23.854761184944365,3.0,4.0,1.64,6,27,79,27.542465753424658,21.643835616438356,1 bath,37.70479452054794,1.3333333333333333,0.0,15.816795641164589
48,"Venice, Italy",response not available,96.16273880909218,100.0,f,host neighbourhood not available,1,"['email', 'phone']",t,"Venice, Veneto, Italy",Entire townhouse,Entire home/apt,3.0,4,1125,t,1,116,0,0,4.78,4.83,4.89,4.92,4.88,4.71,4.81,f,84.61643835616438,84.61643835616438,11.422733907309842,4.0,6.0,0.88,7,37,312,73.0,85.47945205479452,2 baths,14.102739726027396,1.5,0.0,13.499426505320034
49,"Venice, Italy",within an hour,100.0,100.0,t,Dorsoduro/Accademia,3,"['email', 'phone', 'work_email']",t,"Venice, Veneto, Italy",Entire rental unit,Entire home/apt,2.0,3,250,t,0,325,24,0,4.78,4.87,4.84,4.72,4.84,4.91,4.67,t,201.55342465753424,201.55342465753424,22.42461168879735,3.0,4.0,2.39,4,34,281,154.02191780821917,76.98630136986301,1 bath,50.38835616438356,1.3333333333333333,0.0,11.125889687510748
50,"Venice, Italy",within a few hours,100.0,97.0,t,Cannaregio,5,"['email', 'phone', 'work_email']",t,neighbourhood not available,Entire home,Entire home/apt,1.0,3,1124,t,6,350,30,3,4.71,4.78,4.6,4.88,4.91,4.74,4.66,f,123.43287671232876,123.43287671232876,12.660356647348243,2.0,4.0,2.89,25,55,232,75.55890410958904,63.561643835616444,1 bath,30.85821917808219,2.0,0.0,10.256875627110535
51,"Venice, Italy",within an hour,100.0,100.0,t,Castello,4,"['email', 'phone']",t,neighbourhood not available,Room in bed and breakfast,Hotel room,1.0,2,730,t,3,170,22,3,4.54,4.71,4.82,4.67,4.66,4.85,4.57,t,69.64383561643835,69.64383561643835,16.988497937448912,1.0,1.0,1.25,8,31,284,56.15068493150685,77.8082191780822,1 shared bath,69.64383561643835,1.0,0.0,24.39339790389006
52,"Venice, Italy",within an hour,100.0,98.0,t,San Polo,4,"['email', 'phone']",t,"Venice, Veneto, Italy",Room in bed and breakfast,Hotel room,1.0,2,1125,t,3,347,41,3,4.94,4.95,4.99,4.95,4.96,4.95,4.85,t,125.52602739726028,125.52602739726028,39.08658333159486,1.0,2.0,3.37,18,48,307,104.76712328767124,84.10958904109589,1 private bath,62.76301369863014,2.0,0.0,31.13823016791174
53,"Venice, Italy",within an hour,80.0,100.0,f,San Marco,1,"['email', 'phone']",t,"Venice, Veneto, Italy",Entire rental unit,Entire home/apt,1.0,2,1125,t,0,183,12,0,4.9,4.94,4.92,4.91,4.95,4.98,4.84,t,137.0,137.0,34.804477418166314,1.0,4.0,1.36,0,7,197,83.72602739726027,53.97260273972603,1 bath,34.25,4.0,0.0,25.404728042457165
54,"Venice, Italy",within an hour,100.0,98.0,t,San Polo,4,"['email', 'phone']",t,"Venice, Veneto, Italy",Entire serviced apartment,Entire home/apt,4.0,4,365,t,11,13,1,0,4.85,4.54,4.92,5.0,5.0,4.92,4.85,f,435.74520547945207,435.74520547945207,87.53415823233759,4.0,8.0,0.14,24,54,329,387.85205479452054,90.13698630136986,4 baths,54.46815068493151,2.0,0.0,20.088381267677615
55,"Venice, Italy",within an hour,100.0,100.0,f,host neighbourhood not available,2,"['email', 'phone', 'work_email']",t,"Venice, Veneto, Italy",Entire rental unit,Entire home/apt,1.0,5,30,t,5,200,16,2,4.76,4.75,4.91,4.93,4.9,4.7,4.72,f,48.0,48.0,0.0,1.0,2.0,1.48,11,21,265,34.84931506849315,72.6027397260274,1 bath,24.0,2.0,0.0,0.0
56,"Venice, Italy",within an hour,85.0,100.0,t,host neighbourhood not available,5,"['email', 'phone', 'work_email']",t,"Venice, Veneto, Italy",Room in bed and breakfast,Hotel room,1.0,1,30,t,18,41,6,0,4.59,4.78,4.93,4.85,4.6,4.8,4.73,t,193.2931506849315,193.2931506849315,15.41937849518526,3.0,3.0,0.33,47,48,323,174.2109589041096,88.4931506849315,1 private bath,64.4310502283105,1.0,0.0,7.977198592162689
57,"Venice, Italy",within an hour,100.0,100.0,t,Castello,4,"['email', 'phone']",t,neighbourhood not available,Room in bed and breakfast,Hotel room,1.0,2,730,t,6,73,2,0,4.23,4.63,4.7,4.47,4.4,4.7,4.32,t,126.16438356164383,126.16438356164383,16.360477117151227,2.0,3.0,0.55,19,49,304,105.28767123287672,83.28767123287672,1 shared bath,42.054794520547944,1.5,0.0,12.967587725863622
58,"Venice, Italy",within an hour,94.0,99.0,f,Castello,6,"['email', 'phone', 'work_email']",t,"Venice, Veneto, Italy",Entire rental unit,Entire home/apt,2.0,2,270,t,3,174,18,2,4.33,4.52,4.5,4.56,4.63,4.72,4.35,f,148.27397260273972,148.27397260273972,18.472774943687437,3.0,4.0,1.3,7,35,299,121.4931506849315,81.91780821917808,1 bath,37.06849315068493,1.3333333333333333,0.0,12.458541859656162
59,"Venice, Italy",response not available,96.16273880909218,93.0969346598548,f,Castello,2,"['email', 'phone']",t,neighbourhood not available,Entire rental unit,Entire home/apt,1.0,3,60,t,0,456,0,0,4.82,4.89,4.92,4.85,4.86,4.89,4.78,t,60.0,60.0,0.0,2.0,4.0,3.45,0,0,0,0.0,0.0,1 bath,15.0,2.0,0.0,0.0
60,"Venice, Italy",within an hour,100.0,100.0,f,Castello,1,"['email', 'phone']",f,neighbourhood not available,Entire rental unit,Entire home/apt,3.0,1,90,t,3,38,0,0,4.92,4.92,4.97,4.78,4.82,4.92,4.89,t,338.58082191780824,338.58082191780824,95.57381454559156,4.0,4.0,0.29,9,34,278,262.1041095890411,76.16438356164383,1 bath,84.64520547945206,1.0,0.0,28.22776966640847
61,"Venice, Italy",within an hour,100.0,100.0,f,host neighbourhood not available,2,"['email', 'phone', 'work_email']",t,"Venice, Veneto, Italy",Entire rental unit,Entire home/apt,1.0,5,30,t,10,212,15,4,4.75,4.78,4.9,4.98,4.91,4.82,4.8,f,39.0,39.0,0.0,1.0,1.0,1.6,15,45,289,30.87945205479452,79.17808219178082,1 bath,39.0,1.0,0.0,0.0
62,"Ferrara, Italy",within an hour,90.0,97.0,t,Castello,5,"['email', 'phone', 'work_email']",t,neighbourhood not available,Entire rental unit,Entire home/apt,2.0,3,1125,t,2,234,20,0,4.99,4.95,4.95,4.97,4.97,4.95,4.91,f,152.84931506849315,152.84931506849315,4.520014200833207,2.0,4.0,1.76,3,13,201,84.16438356164383,55.06849315068493,2 baths,38.21232876712329,2.0,0.0,2.9571700722425533
63,"Modena, Italy",within an hour,100.0,100.0,f,Dorsoduro/Accademia,3,"['email', 'phone']",t,neighbourhood not available,Entire rental unit,Entire home/apt,1.0,3,29,t,2,43,1,0,4.76,4.67,4.76,4.68,4.76,4.88,4.59,t,120.0,120.0,0.0,2.0,4.0,0.33,8,35,280,92.05479452054794,76.71232876712328,1 bath,30.0,2.0,0.0,0.0
